"";"db_ref";"objectives"
"2733";"survey_10565";"Swaziland faces the challenge of inadequate health and community systems capacity to support an effective response that includes scaling-up and strengthening existing interventions. One of the most important factors that affects access to prevention, treatment and care services for HIV, tuberculosis (TB), malaria and other health programs in Swaziland is the production, attrition and deployment of health workers. A health workforce assessment conducted by the European Union in 2007, found that the overall number of medical personnel declined by nearly 13 percent over the preceding two years. These losses are particularly severe in the rural areas of Swaziland. Limited capacity of nursing training facilities, lengthy hiring processes, growing burden on existing staff and poor supervision in the regional areas are some of the key reasons for shortages of health staff. The cross-cutting HSS Program proposes to address these shortages through strengthening the health workforce, improving service delivery and enhancing monitoring and information systems. Staff shortages in the health sector will be addressed through improvement in recruitment and worker retention policies, health workforce wellness programs and the expansion of human resource capacity in the health sector. The Program will improve service delivery and accessibility by capacity building and decentralizing services such as HIV care and treatment, the provision of Antenatal Care services (ANC), Prevention of Mother to Child Transmission of HIV (PMTCT) programs, and TB diagnosis at the clinic level. Diagnostic services are currently concentrated in the national hospitals and diagnostic centers which are less accessible to vulnerable and rural populations.Moreover, the inability of the national health information system to routinely provide the data necessary for effective monitoring and evaluation of disease-specific programs has led to the development of parallel systems of data collection. The Program will focus on the creation of a common national database which will facilitate access to information and a harmonized monitoring and evaluation system. The integrated monitoring and evaluation system will also incorporate data generated by community-based and private sector monitoring and evaluation systems into the overall national health information system. These interventions will strengthen data collection from two sectors with historically weak monitoring and evaluation functions in Swaziland and add to the completeness of the national health information system."
"2734";"survey_10704";""
"2735";"survey_10710";"to improve the general livelihood of Lilongwe's informal settlements through a detailed survey of the needs of their residents and a range of interventions aimed at upgraded service delivery"
"2736";"survey_10720";""
"2737";"survey_10725";"The project aims at alleviating the severity of poverty and unemployment, improving the standard of living of the local communities, and reducing the negative impact of the Economic and Financial Reform Program.  These objectives will be achieved through financing of infrastructure and services sub-projects, provision of loans to small and micro enterprises, and provision of training programs and institutional support to the institutions involved in the various activities of the Social Fund for Development.  The project is considered the fourth phase of the Social Fund for Development.http://www.arabfund.org/Data/site1/pdf/Annual_Report_2011_E.pdf"
"2738";"survey_10726";"The project aims at improving the efficiency of the main road network in the capital Sana'a, to alleviate the traffic bottlenecks on major corridors. This will be accomplished by introducing the necessary improvements to the main intersections, through grade-separation using bridges and tunnels.http://www.arabfund.org/Default.aspx?pageId=359&pId=2078"
"2739";"survey_10727";"The project aims at improving road transport services in the country and connecting the central region with the western region where Hodeidah Port is located, through the construction of a paved road that extends between Dhamar and Al-Husseiniya. The project will help connect the highly populated and isolated areas with each other and with other provinces, improve the distribution of agricultural products and tourism in these areas, as well as facilitate access to Atma area which was recently declared a natural preserve.http://www.arabfund.org/Default.aspx?pageId=359&pId=2079"
"2740";"survey_10728";""
"2741";"survey_10729";"The project aims at developing and improving air transport services in the Republic of Sudan, and meeting the increasing demand for air traffic, through the construction of a new international airport in Khartoum, which will contribute to the economic and social development of the country.http://www.arabfund.org/Default.aspx?pageId=359&pId=2068"
"2742";"survey_10730";"The project aims at regulating and exploiting the Upper Atbara and Setit rivers' water by constructing two interconnected dams at Rumela and Burdana sites and two hydroelectric power plants, to help foster development of the Eastern Region of the Republic of Sudan through boosting the agriculural production and expanding the hydroelectric power generation capacity. The additional water regulated by the dam's reservoir will be used to intensify the existing agricultural production in the New Halfa area, presently irrigated from the existing Gashm El-Girba dam, and to develop irrigated agriculture in the Upper Atbara area.http://www.arabfund.org/Default.aspx?pageId=359&pId=2073"
"2743";"survey_10731";"The project aims at improving land transportation services on the road network in Tunisia to accommodate the rapidly growing road traffic and reduce traffic accidents. The project also contributes to the economic and social development of the north western region of Tunisia. The Project will develop road linkage with the neighboring Arab Maghreb countries, as it is a part of the Arab Maghreb Motorway.http://www.arabfund.org/Default.aspx?pageId=359&pId=2077"
"2744";"survey_10732";"The project aims at satisfying the increasing demand for electric power and energy in the Syrian Arab Republic, and meeting the increase in load in the southern region of the country, by constructing a 750 MW power generating station, and connecting it to the national grid. The project will also lead to improving the voltage level and reducing the losses in the grid.http://www.arabfund.org/Default.aspx?pageId=359&pId=2066"
"2745";"survey_10733";""
"2746";"survey_10734";"The project aims at upgrading the generation and transmission systems in the city of Nouakchott and the towns connected to it, in order to meet their increasing demand for electric energy and power. This will be accomplished through the construction of a new 120 MW diesel power plant, the rehabilitation of an existing power plant, the construction of transmission lines and substations to connect the new power plant to the transmission network, and the establishment of a system to control the equipment included in the project.http://www.arabfund.org/Default.aspx?pageId=359&pId=2092"
"2747";"survey_10735";"The project aims at providing drinking water to residents of the region of Aftout Elcharghi, located in the governorates of Alassaba, Gorgol, and Brakna, by treating part of the water of Foum Gleita dam, and transferring it to the villages and communities in the project area. The project also aims at reducing the spread of diseases caused by consumption of contaminated water by the population, thereby contributing to the improvement of their living conditions and health, and the environment.http://www.arabfund.org/Default.aspx?pageId=359&pId=2093"
"2748";"survey_10736";""
"2749";"survey_10737";""
"2750";"survey_10738";"The program aims at contributing to the reduction of unemployment, the alleviation of poverty, and the improvement of living and health conditions of the population in the least developed regions of Tunisia, through the implementation of a number of projects. These projects will provide new job opportunities for small farmers, craftsmen and skilled professionals, and holders of higher education and vocational training degrees. The program also aims at increasing productivity, developing infrastructure, and improving public utility services, in order to achieve a balanced regional development by stimulating economic activity and community development, and reduce economic and social disparities among the population."
"2751";"survey_10739";"The project aims at covering the shortage in the supply of drinking water in some areas of the Kingdom, in addition to meeting the future water needs of the population. This will be accomplished by distributing water made available from the Al Dur plant for power and water production. The project will also contribute to preserving groundwater and reducing its depletion."
"2752";"survey_10740";"The project aims at contributing to the economic and social development of the north western region of Morocco, and at improving land transportation services to accommodate the rapidly growing demand for passenger railway transportation between Tangier, Kenitra, Rabat and Casablanca, through the use of the high-speed train which provides fast and safe means of transportation for passengers."
"2753";"survey_10741";"The project aims at satisfying the increasing demand for electric power and energy, by raising the installed power generation capacity in Upper Egypt by 1,950 MW. This will be accomplished by constructing a high thermal efficiency, super-critical steam power station, that runs on natural gas as primary fuel and on heavy fuel oil as the alternate fuel."
"2754";"survey_10742";"The program aims at contributing to the efforts being made to face the exceptional economic and social conditions currently prevailing in the Arab Republic of Egypt, through the provision of financing to small and medium private sector projects and enterprises in various sectors of the economy, thereby contributing to the creation of new jobs and to the increase in production and exports of goods and services."
"2755";"survey_10743";"The project aims at improving maritime transport services in the Republic of Djibouti. This will be achieved through the construction of a new port in the city of Tadjourah to meet the increasing marine traffic demand, thus contributing to the economic and social development of the country, particularly the northern regions."
"2756";"survey_10744";"The project is part of an integrated program to rebuild and develop Eastern Sudan, by linking remote rural areas and isolated villages to towns and cities, facilitating the population's access to basic services and products, as well as facilitating the transportation of agricultural products from production areas to consumption areas, with the aim to improve the economic and social situation of the population of these areas."
"2757";"survey_10745";"The project aims at improving land transportation services on the road network in Morocco to accommodate the rapidly growing road traffic and reduce traffic accidents. This project also contributes to the economic and social development of the middle western region of the country and links it to the rest of the motorway network, and facilitates land transportation between that region and the main cities in Morocco."
"2758";"survey_10746";"The project aims at covering the shortage in the supply of drinking water in the cities of Nema and Timbedra, and meeting their future water needs, as well as providing drinking water to the residents of several cities, villages, and population communities in Hodh Elcharghi. This will be accomplished by exploiting part of the Dhar basin, by transporting and distributing its water among the residents. The projects also aims at reducing the spread of diseases caused by consumption of contaminated water by the population, thereby contributing to the improvement of their living, environmental and health conditions."
"2759";"survey_10747";"The project aims at enhancing the electrical generating capacity in Yemen in order to meet part of the increasing demand for power and energy in the country, without using fossil fuel. This will be accomplished through the construction of a 60 MW wind farm in the Al-Mokha area, and connecting it to the national transmission network."
"2760";"survey_10748";"The project aims at developing the water resources in rural regions located in a number of border provinces in the south of the country, through the construction and rehabilitation of small dams and hafirs (ground reservoirs) to collect and store flood water for a number of valleys with seasonal runoff. The water provided by these facilities will be used for drinking by the nomadic herders and animals in those regions. The project will contribute to the resettlement of nomadic herders, and help avoid conflict between pastoralists and farmers within the borders of Sudan and across the border with the State of South Sudan. It will also contribute to the recharge of groundwater aquifers, reduce soil erosion and desertification, improve the living, economic, social and environmental conditions of the population, as well as reduce the spread of diseases and support stability in the rural regions in the south of the country."
"2761";"survey_10749";"The project represents the fifth phase of the Al-Samra Power Generating Station, located in the Al-Zarqaa Governorate. The project aims at satisfying the increasing demand for electric power and energy in the Kingdom by increasing the installed capacity of the station from 900 MW to 1,040 MW. This will be accomplished through the supply and installation of a steam turbine generator set rated at 140 MW, which, in conjunction with the two gas turbines supplied in phase IV of the station, will create a high efficiency combined cycle block rated at 440 MW."
"2762";"survey_10750";"The program aims at providing financing to industrial projects and enterprises in the private sector, which will contribute to the creation of new jobs that will help fight unemployment and reduce poverty, in addition to the substitution of imports, or the manufacture of products from local raw materials or intermediate products, in order to increase gross domestic product and value added, and provide foreign exchange."
"2763";"survey_10751";"The project aims at covering the expected shortage in the supply of drinking water in the Tetouan area, and meeting its future needs until 2030. This will be accomplished by using part of the water that will be provided by Wadi Martil dam. The project will also provide water to the new touristic, commercial and industrial zones that will be created in the area, as well as to a number of villages located near the project facilities."
"2764";"survey_10752";"The project aims at satisfying the rising demand for electric power in about 30 interior cities until the year 2020. This will be accomplished by increasing the installed generation capacity through adding new generating units, and rehabilitating the existing power stations."
"2765";"survey_10753";""
"2766";"survey_10754";""
"2767";"survey_10755";"The project aims at raising the level of safety along the Benha - Zagazig - Ismailia - Port Said corridor (line), increasing the number of passenger trains passing on it, and the volume of freight it can handle. This will be accomplished by replacing the existing mechanical interlocking system with a more modern, centrally controlled, electrical interlocking systemThe project will improve the ability of the ENR system operators to control the movement of trains along the line, and coordinate the operation of the railroad crossings with the movement of the trains, thus reducing the minimum permissible time between trains and lowering the rate of traffic accidents."
"2768";"survey_10756";"The project aims at meeting the increasing demand for power and energy in the city of Nouakchott and its suburbs, without using fossil fuel. This will be accomplished through the construction of a 30 MW wind farm in the city, and connecting it to the local transmission network."
"2769";"survey_10757";"The project aims at increasing the production of high value fertilizer in Tunisia, and reducing the emissions of harmful gasses and dust resulting from the transfer and conversion of phosphate ore into triple super phosphate (TSP) fertilizer. This will be accomplished through the construction of a new production plant in Mdhila. The project also aims at utilizing the thermal energy resulting from the manufacturing process to generate electricity, providing new employment opportunities, and improving the economic situation in the project area.http://www.arabfund.org/Default.aspx?pageId=359&pId=2219"
"2770";"survey_10758";"The project aims at addressing the severe drinking water shortage in Djibouti City, by rehabilitating and strengthening the water distribution network, expanding it, pumping additional groundwater into the network and rationalizing water consumption. The project is expected to provide around 2.1 million m3 annually of water. The project will also help develop the water distribution network, improve drinking water services, and thereby the living and health conditions of the population.http://www.arabfund.org/Default.aspx?pageId=359&pId=2211"
"2771";"survey_10759";"The project, which is part of the emergency program for the reconstruction of areas affected by acts of sabotage and terrorism in the Governorate of Abyan, aims at repairing the damages caused to all facilities, services, and public and private infrastructure in the Governate, as well as providing assistance to the victims of those acts and the displaced, and alleviating the suffering they endured. The project also aims at accelerating the achievement of development and social goals in the Governorate.http://www.arabfund.org/Default.aspx?pageId=359&pId=2208"
"2772";"survey_10760";"The project aims at supporting the health system in the Governorate of Aden, and improving its health services. In addition, the project aims at improving qualifications of students of the medical colleges, and supporting medical research at the university.http://www.arabfund.org/Default.aspx?pageId=359&pId=2210"
"2773";"survey_10761";"The project aims at developing transport between the capital Sana'a and the country's main port in Al Hudaydah, by rehabilitating and expanding the road that links the two cities. This will reduce bottlenecks, accommodate the increasing traffic and allow for safer travel on this road, which is the main one in the national road network.http://www.arabfund.org/Default.aspx?pageId=359&pId=2217"
"2774";"survey_10762";"The project aims at satisfying the increasing demand for electricity in several towns and villages in three Darfur States, by connecting them to the national transmission grid. The project will provide safe and low-cost electric energy to meet the lighting and cooking needs of the residents, the needs of the various economic sectors, and reduce the dependence on small, non-reliable and expensive diesel generating units currently used to supply the loads of the towns and villages included in the project.http://www.arabfund.org/Default.aspx?pageId=359&pId=2212"
"2775";"survey_10763";"The project aims at providing drinking water to the inhabitants of rural villages in different parts of Mauritania, as well as improving their health and living conditions. The project also aims at developing groundwater sources and regulating surface water in oases for agricultural use. The project will contribute to strengthening the efforts to fight poverty and unemployment, improving farmers' income, providing employment opportunities and maintaining the population in rural oases areas.http://www.arabfund.org/Default.aspx?pageId=359&pId=2213"
"2776";"survey_10764";"Analysis of the Statistical Systems in the OCTs"
"2777";"survey_11057";"To strengthen The Bahamas'capacity to allocate, manage, and monitor public resources."
"2778";"survey_10773";"Basket fund to support the implementation of the National Strategies for the Development of Statistics (NSDS1) 2009-2014; Support to the Rwanda National Population and Housing Census 2012 through the NSDS 1 Basket fund"
"2779";"survey_10775";"The overall objective of this programme is to enhance the capacity of the responsible government institutions in the generating, processing and packaging of trade related information and statistics, to better inform policy analysis and formulation."
"2780";"survey_10777";""
"2781";"survey_10785";"The purpose is to provide a comprehensive description (both organisational and functional) development of official statistics in the country."
"2782";"survey_10789";"TA to Albanian Insitute of statistics"
"2783";"survey_10790";"The purpose of this contract is to provide IT equipment (hardware and software) to the Albanian Institute of Statistics (INSTAT) in order to conduct successfully the Population and Housing Census 2011"
"2784";"survey_10791";"The overall objective of the project is to contribute to the strengthening of the Albanian statistical system with the implementation of a Population and Housing Census in 2011"
"2785";"survey_10793";"The purpose of this project is to prepare the central bank (the Bank of Albania ? BoA) for a smooth rapprochement to the European System of Central Banks (ESCB) and help ensure an approximation of the Bank?s legal and regulatory framework to the EU acquis; STRENGTHENING THE INSTITUTIONAL CAPACITY OF THE ALBANIAN CENTRAL BANK PARTICULARLY IN THE AREAS OF BANKING SUPERVISION, STATISTICS, PAYMENT SYSTEMS AND THE IMPLEMENTATION OF MONETARY POLICY"
"2786";"survey_10794";"To harmonise Armenian statistics with EU standards:1. Component   Quality Management2. Component   Business statistics,  response burden3. Component   Improvement of the Exhaustiveness of GDP4. Component   Agricultural Census5. Component   Harmonized Consumer Price Index6. Component   ICT Society"
"2787";"survey_10795";"Main objectives - Agriculture - development of  the BiH agricultural information structure; to address the immediate BiH needs for accurate and reliable agricultural data for the rural economy Main results - Data collection and network exchange system  to be strengthened and data produced according to the EU standards "
"2788";"survey_10799";"Supply of PC Workstation, network storage and backup system, desktop PC, Laser printer"
"2789";"survey_11642";"To produce relevant, reliable and timely statistics to monitor progress of Poverty Reduction Strategy and to strengthen the National Statistical System."
"2790";"survey_10923";"To strengthen the statistical capacity and improve the informational base, in order to provide quality information, as defined by itsreliability, timeliness, accuracy and representativeness with the level of disaggregation necessary to support systems for planning, designing, monitoring and evaluating public programs and policies."
"2791";"survey_10812";""
"2792";"survey_11652";"Support to targeting of poor households; develop single national registry and strengthen information management for safety net and social protection systems"
"2793";"survey_10816";"The overall objective is to contribute to the faster achievement of MDG targets in Myanmar and thereby contribute to improved MDG performance. The programme has three main components: (1) Environmental and land governance; (2) National planning process, including aid effectiveness and strengthening the national statistics system to promote evidence-based reforms; (3) targeted assistance in key areas identified in response of a stated demand from government.The overall amount of the project is Euro 5.5 million, of which about Euro 800,000 are dedicated to strenghten national statistics. "
"2794";"survey_10824";""
"2795";"survey_10825";""
"2796";"survey_10827";"Main objectives - To increase the capacity of the Serbian Environmental Protection Agency (SEPA) to support Serbia in the realization of its international environmental protection obligations.  Main results - Increased capacity of SEPA to carry out its monitoring, data management and reporting responsibilities Established information network for data collection and exchange Increased capacity for monitoring, data management and reporting of other institutions involved in the monitoring and reporting network "
"2797";"survey_10828";"The specific objective is to modernize and strengthen the Health Management Information System including the communicable surveillance system through supporting to the National Centre of Medical Statistics, Sanitary and Epidemiological Services and the St"
"2798";"survey_10832";"Supply of satellite imagery for the GIS-based agriculture information system in Bosnia and Herzegovina"
"2799";"survey_12109";""
"2800";"survey_10838";"Development of the Food Security Information System to end users at central and local levels. That the FSIS uses appropriate statistical methods to collect and process relevant information at individual, local and national regarding structural and emergency food security."
"2801";"survey_10841";""
"2802";"survey_10924";"To strengthen the policy development and management capacity of the social protection sector; to integrate the management information systems for the main social protection programs; to establish operational links between social protection and early warning systems; to expand the coverage and enhancing the harmonization of social protection interventions."
"2803";"survey_11012";""
"2804";"survey_10844";"The project will strengthen further the capacity of Monstat to produce agricultural statistics, national accounts and business statistics, and will reinforce Monstat IT's sector, namely will further develop the metadata and electronic questionnaires and PC AXIS implementation."
"2805";"survey_10847";""
"2806";"survey_10849";""
"2807";"survey_10851";"To strengthen the statistical system of Kosovo, with a focus on improving national accounts and business statistics according to EU standards, and to modernise the IT systems and web dissemination"
"2808";"survey_10852";""
"2809";"survey_10856";""
"2810";"survey_10857";""
"2811";"survey_10858";"The objective of the expert mission is to review current methods of compiling statistics on labour force structure in Turkey and propose recommendations on its possible reform which will enable gathering relevant and credible statistics on employment and vacant jobs"
"2812";"survey_10859";"Strengthen baseline survey and analysis"
"2813";"survey_10860";""
"2814";"survey_10864";""
"2815";"survey_10865";"Collect statistically sound, international comparable estimates of key indicators that are used to assess the situation of children and women in the areas of health, education, child protection, HIV/AIDS and water and sanitation"
"2816";"survey_10866";""
"2817";"survey_10867";""
"2818";"survey_10868";""
"2819";"survey_10921";"To strengthen technical competence;to improve institutional management skills, fiduciary performance and human resources; to support statistical development, particularly the mapping exercise of the population census and national accounts"
"2820";"survey_10871";"The programme will assist the Laamu Atoll and its islands to realize low emission and climate resilient development (LECReD). The programme seeks to mainstream LECReD issues into local level development planning and service delivery for greater community level ownership and sustainability of programme benefits.UNFPA Maldives is responsible for establishing data and knowledge systems for local planning and management in order to identify options and opportunities for development, in close collaboration with National Bureau of Statistics, Maldives."
"2821";"survey_10872";"Mise en place d'un syst̬me d'informations agricoles au niveau du MINAGRIE (informations sur les prix des march̩s agricoles, sur des donn̩es pluviom̩triques et sur l'̩valuation des productions, des rendements)."
"2822";"survey_10873";""
"2823";"survey_10875";"To ensure availability of a time series of population data to support socio-economic development planning and population programS and contribute to national statistical capacity development."
"2824";"survey_10876";""
"2825";"survey_10877";""
"2826";"survey_12233";"1) Institutional capacity and regulatory frameworks for sustainable fisheries management improved; 2) Sustainable fisheries management in small-scale fisheries including inland water bodies enhanced; 3)Institutional capacity and regulatory framework for aquaculture development strengthened; 4) Advocacy, Lessons learning for knowledge sharing and capacity for increased returns from fisheries and access to markets enhanced"
"2827";"survey_10880";""
"2828";"survey_10934";"To enhance capacity of the CSA at organizational, human, and physical levels in order to produce and disseminate reliable, accessible, and timely statistics."
"2829";"survey_11801";"The IPA 2012 Multi-beneficiary Statistical Co-operation Programme is a continuation of previous IPA programmes and the overall objectives of the are:- To take further the process of progressively integrating the National Statistical Institutes (NSIs) of the beneficiaries into the European Statistical System (ESS) by strengthening the institutions of the NSIs and their co-ordinating role in the statistical system of the country;- To continue to support sustainable capacity building of the NSIs for enabling them to better meet the needs of their customers by providing data that is accurate, reliable, timely and compiled in full compliance with the acquis;- To intensify efforts to improve the quality of statistical information and to reinforce confidence in methods and professionalism, thus providing policy makers and the international community with unquestioned statistical data."
"2830";"survey_10883";"To help the Pakistan Bureau of Statistics improve their household survey methodology, including theimplementation of electronic devices to facilitate data collection, and update the national poverty line."
"2831";"survey_10884";"The objective is to provide Technical Assistance to the Ministry of Education and Culture (MEC) on howto transform its current statistical system (SIGMEC) into a comprehensive education management information system (EMIS) capable of improving school-based management, fostering school autonomy and enhancing transparency in the use of public resources."
"2832";"survey_10885";"The development objective of the proposed grant is to support Georgia in the successful implementation of the National Population Census (planned for 2014) through preparatory census activities in a pilot location (Tbilisi municipality)."
"2833";"survey_10920";"To strengthen the capacity of statistics producers to produceand disseminate official statistics"
"2834";"survey_10887";"The main objective of the TFSCB Grant will be to support the implementation of the NSDS 2011 - 2015 especially by improving the efficiency of the NSS and the quality and coverage of specific statistics."
"2835";"survey_10888";"Developing a National Statistics Development Strategy and to address the immediate capacity constraints, such as e.g. National Accounts."
"2836";"survey_12664";"L'objectif global du présent projet est de contribuer à la réduction de la pauvreté et de l?insécurité alimentaire grâce à des stratégies et politiques plus efficaces définies et mises en ?uvre sur la base d?informations statistiques structurelles fiables, pertinentes et actuelles et asseoir un système d'information pouvant stimuler la croissance du secteur agricole, et dynamiser les espaces ruraux. L?objectif spécifique du projet est de renforcer le système national de statistiques agricoles et améliorer la disponibilité des données agricoles par la réalisation du prochain Recensement Général de l?Agriculture (RGA) et son utilisation future comme base de la mise en place d?un système permanent de production statistique sur le secteur agricole."
"2837";"survey_11792";"This action wishes to support the implementation of the Global Strategy to improve agricultural statistics in Africa through the Africa Action Plan of the strategy. The Africa Action plan is designed to provide the tools and training required to develop long-term capacity, improved coordination at different levels and better integration of agricultural statistics in national statistical systems."
"2838";"survey_10891";"The project aims at developing air transport in Mauritania and accommodating national and international flights through the construction of a new international airport in Nouakchott able to handle the increasing demand for air transport. This project will help stimulate the economic and social development of the country.http://www.arabfund.org/Default.aspx?pageId=359&pId=2209"
"2839";"survey_10892";"The project aims at developing the transport services on the main road network of the country, and insuring traffic safety. The project also aims at promoting trade between different regions of the country, and between Mauritania and its neighboring countries, through the completion of the connecting road between the city of N̩ma and the borders of Mali. The project is expected to contribute to the development of areas adjacent to the road, integrate isolated localities and improve their access to basic services.http://www.arabfund.org/Default.aspx?pageId=359&pId=2207"
"2840";"survey_10893";"The Tangier Med II port project aims at contributing to the economic and social development in the Kingdom of Morocco, particularly the northern regions, through the construction of a second port. This port constitutes an extension of the existing Tangier Med I port, which began to operate in 2007 and was completed in 2008. The project also aims at meeting the increasing marine traffic demand, thereby making Tangier Med port complex, the largest container port in the Mediterranean region.http://www.arabfund.org/Default.aspx?pageId=359&pId=2214"
"2841";"survey_10895";""
"2842";"survey_10898";"Evaluer les indicateurs SONU pour analyser les progr̬s r̩alis̩s dans ce domaine"
"2843";"survey_10899";""
"2844";"survey_10900";"The overall objective of the proposed project is to assist and support the efforts of the Government in establishing a conducive institutional set up for food security decision making supported by a relevant, effective and sustainable National Food Security Information System."
"2845";"survey_11639";"To support acquisition of high resolution spatial and topographic data through airborne Lidar and co-registered orthophotography surveys"
"2846";"survey_10902";""
"2847";"survey_10903";"Evaluer l'ampleur des fistules obst̩tricales au niveau national"
"2848";"survey_10904";""
"2849";"survey_10906";" Mettre en ̩vidence les principaux partenaires qui financent la sant̩ de la reproduction au Burundi"
"2850";"survey_10908";""
"2851";"survey_11651";"Support Health Management Information System to develop an integrated e-health architecture; set up data-driven health systems in conjunction with open data initiative."
"2852";"survey_12665";"Ce projet contribuera au renforcement des capacités techniques et opérationnelles de la Direction des Statistiques, de la Documentation et de l'Informatique (DSDI) du Ministère de l'Agriculture. Il aidera le Gouvernement à réorganiser le monde rural, à redéfinir et à mieux piloter sa politique agricole et de sécurité alimentaire sur la base de données statistiques réelles sur les structures de l'agriculture de la Côte d?Ivoire et contribuera ainsi à formuler des politiques et stratégies adaptées de lutte contre la pauvreté et l'insécurité alimentaire dans le pays."
"2853";"survey_10912";""
"2854";"survey_10913";"To strenghten Monitoring and Evaluation in the Ministries of Education"
"2855";"survey_10914";"Development of the Bangladesh Poverty Database"
"2856";"survey_10767";"The programme will strengthen the ASEAN Community Statistical System"
"2857";"survey_10925";"To develop a national database of poor/near-poor households and social assistance beneficiaries and a management informationsystem for use nationwide."
"2858";"survey_10918";"To support the preparation and implementation of the household budget survey"
"2859";"survey_12106";""
"2860";"survey_11002";"Country capacity to use, collect, analyse and disseminate data is strengthened by improved methods developed by the Organization.  "
"2861";"survey_12071";"To develop health management information system"
"2862";"survey_10916";"To enable data-driven decision-making, leading to more efficient use of resources and improved human development outcomes."
"2863";"survey_11775";"To improve the statistical information systems by means of the improvement of the information and Communication Technology Services (ICT) for central and regional Offices"
"2864";"survey_12112";"Strengthen the capacity of the aid coordination office, line Ministries and non-state actors "
"2865";"survey_13112";"The overall objective of APAI-CRVS is to provide management and programmatic guidance to the regional agenda of reforming and improving
CRVS systems. Specifically, the regional programme will provide guidance on the institutional and operational linkages, workflows and results management mechanisms in a more comprehensive and holistic manner, encompassing the inter-disciplinary and inter-sectoral interfaces of CRVS systems."
"2866";"survey_13111";"The programme will (i) provide direct technical support necessary for census planning, management, data collection, processing, analysis and dissemination; (ii) build technical capacity on the different phases of a census operation; and (iii) support countries in difficult circumstances to prepare to conduct population and housing censuses."
"2867";"survey_10843";""
"2868";"survey_10922";"To strengthen the National Statistical System in the production and dissemination of timely and robust statistics relevant to policy and decision making, and promote demand for statistical information "
"2869";"survey_11683";"Contribute to a more effective and efficient implementation of public policies and of  EU cooperation activities, ensuring that the CSP focal sectors reach maximum results, impact  and visibility - Strengthen the generation and processing of statistical information, so as to provide  objective and quantified information for decision-making and assess the impact of  both public policies and EU interventions on a larger scale. This activity focuses on  strengthening the national statistic system and the modernization program for  macroeconomic statistics.  "
"2870";"survey_11787";"Carry out Demographic and Health Survey coupled with the MICS"
"2871";"survey_12712";"Country capacity to use, collect, analyse and disseminate data is strengthened by improved methods developed by the Organization.  "
"2872";"survey_10915";"To improve data collection and monitoring of education system"
"2873";"survey_10929";"The statistical component will support capacity development to support the Education Management Information System, including data collection and school surveys."
"2874";"survey_10937";""
"2875";"survey_10941";" The wide dissemination of results from the 2012 population census will be supportedso that different types of users of census data can easily access the data they need. Support will beprovided to the Department of Census and Statistics on the REDATAM software to enable users to dotheir own tabulations online through encrypted files that protect the confidentiality of individualinformation. The CensusInfo platform will also be promoted for easy presentation and visualization ofcensus results. Moreover, lessons learnt from the 2012 census will be documented to help plan thenext census, in particular in areas supported by UNFPA under the seventh country programme, suchas methods of enumeration, data processing and engendering of census process. Finally, support willbe provided to the Department in further analysis of census data and the preparation of in-depththematic monographs on major population issues, such as ageing, family composition, gender issuesand youth. UNFPA will provide supportto the Department of Census and Statistics for the inclusion and analysis of a module on gender-basedviolence and for the capture and analysis of comprehensive data on adolescent sexual andreproductive health in the 2013 Demographic and Health Survey."
"2876";"survey_10944";"Measure the prevalnce of gender an d generation based violence at national level"
"2877";"survey_11636";"Statistical component of project includes a targeting system, associate registry for social safety net system"
"2878";"survey_12204";"Under component 3 one of the stakeholders will be Ghana Statistical Service (GSS). One of the main expected result under this component will be the establishment of a national migration data management framework. This would allow an analysis of  in order to facilitate better development planning and migration management"
"2879";"survey_10814";"Appui au syst̬me de planification et de statistiques en Cote d'Ivoire"
"2880";"survey_10882";""
"2881";"survey_10958";""
"2882";"survey_10959";""
"2883";"survey_10960";"The wide dissemination of results from the 2012 population census will be supported so that different types of users of census data can easily access the data they need. Support will be provided to the Department of Census and Statistics on the REDATAM software to enable users to do their own tabulations online through encrypted files that protect the confidentiality of individual information. The Census Info platform will also be promoted for easy presentation and visualization of census results. Moreover, lessons learnt from the 2012 census will be documented to help plan the next census, in particular in areas supported by UNFPA under the seventh country programme, such as methods of enumeration, data processing and engendering of census process. Finally, support will be provided to the Department in further analysis of census data and the preparation of in-depth thematic monographs on major population issues, such as ageing, family composition, gender issues and youth. UNFPA will provide support to the Department of Census and Statistics for the inclusion and analysis of a module on gender-based violence and for the capture and analysis of comprehensive data on adolescent sexual andreproductive health in the 2013 Demographic and Health Survey."
"2884";"survey_11645";"To develop the Health Management Information System"
"2885";"survey_11764";"Overall Objective is that by 2017, Public Institutions are better equipped to manage, allocate and utilise resources for effective development and service delivery.    Key strategic areas of support include: 1) National Institutions utilize Results-Based Management (RBM) systems for planning, monitoring and evaluation to enhance ownership and leadership for achievement of development results; 2) National Institutions have the capacity to align policies, programmes and budgets with national development strategies for efficient achievement of development results; and 3) Government has sufficient capacity to effectively negotiate, manage and account for development assistance."
"2886";"survey_12067";"The main objectives are to strengthening the institutional capacity of the Statistical Agency and the NSS; production of statistical data; improving user-producer dialog; and strengthening of physical infrastructure, IT and automation of data processing.  "
"2887";"survey_11790";""
"2888";"survey_10969";"- Development assistance to Kazakhstan to achieve MDG 5 through promotion of sexual and reproductive health and reproductive rights and reducing maternal mortality;- Strengthening the capacity of the Agency on Statistics of the Republic of Kazakhstan to p"
